,customer_id,customer_age,gender,dependent_count,education_level,marital_status,income_category,card_category,months_on_book,total_relationship_count,credit_limit,total_revolving_bal,active_customer
1476,713203908,26,M,0,0,single,1,blue,15,4,2158.0,1695,True
1477,711772008,35,F,3,2,single,0,blue,22,1,1890.0,666,False
1478,708799983,40,M,1,4,married,2,blue,36,6,18386.0,890,False
1481,741344808,39,F,2,2,married,0,blue,32,4,5634.0,2057,True
1484,802087683,32,M,0,4,married,2,blue,26,6,5478.0,1491,True
1485,712491108,35,M,1,4,married,3,blue,20,6,13046.0,1177,True
1486,714767508,39,M,2,2,married,1,blue,31,5,8687.0,1146,True
1487,720376008,53,F,2,2,married,0,blue,40,6,6174.0,1421,True
1488,779126658,26,F,0,2,single,1,blue,13,5,5655.0,0,True
1489,793222008,32,M,0,1,married,2,blue,26,5,5397.0,1784,True
1490,720812433,54,M,2,3,married,4,blue,46,6,28465.0,0,True
1491,717623583,36,F,3,1,married,0,blue,27,4,3444.0,2441,True
1492,708878508,45,F,3,1,married,0,blue,37,4,2104.0,1267,True
1493,710043408,49,M,3,2,married,3,blue,37,4,15610.0,2048,True
1496,710749458,64,F,0,5,married,0,blue,53,4,5462.0,1864,True
1498,799498158,31,M,1,4,married,2,blue,22,5,2685.0,1580,True
1499,716334258,49,F,3,0,divorced,1,blue,36,5,5238.0,1365,True
1500,716075208,32,F,3,1,married,0,blue,22,4,4561.0,2029,True
1501,780276258,53,M,2,1,married,4,blue,39,3,13091.0,985,True
1505,715247508,30,F,1,2,married,0,blue,36,3,7087.0,1060,True
1506,718784358,34,M,4,0,single,4,blue,36,6,34516.0,2517,True
1507,751450008,41,M,1,4,single,1,blue,32,3,10266.0,1390,True
1509,711050058,33,F,2,0,married,1,blue,23,4,6732.0,0,True
1510,779040408,56,M,2,1,married,4,blue,37,3,12181.0,1702,True
1511,714024858,36,M,3,1,married,3,blue,27,3,7056.0,0,True
1512,789849108,35,M,1,2,single,2,blue,25,6,14365.0,0,True
1513,710391258,27,M,0,2,married,1,blue,36,3,11473.0,829,True
1514,718830183,46,M,1,1,single,2,blue,38,5,23996.0,2517,True
1515,779696883,48,M,2,2,divorced,2,blue,33,4,2998.0,1789,True
1517,737971833,38,M,1,2,married,2,blue,31,6,2405.0,1553,True
1518,772468983,36,M,1,4,married,3,blue,26,3,21927.0,1291,True
1519,710990283,56,M,1,1,married,3,blue,36,4,3906.0,1851,True
1520,808750458,32,M,1,5,single,2,blue,27,5,10029.0,606,True
1521,719692983,36,M,2,5,married,2,blue,30,3,4934.0,1504,True
1522,719125158,35,F,2,1,single,0,silver,15,5,13882.0,1452,True
1524,719206308,32,M,1,1,married,2,blue,24,4,4116.0,1223,True
1525,717141858,56,F,2,1,single,1,blue,36,4,13904.0,625,True
1528,708347583,37,F,4,0,married,0,blue,36,4,2509.0,1144,True
1529,711006783,38,F,1,2,single,0,blue,22,3,2484.0,2149,True
1530,718274283,35,M,3,3,single,2,blue,36,5,2780.0,0,True
1532,715216908,48,M,4,5,single,3,blue,36,6,18102.0,1381,True
1533,779611008,29,M,0,2,married,1,blue,18,4,4532.0,0,True
1534,811467708,33,M,2,2,married,3,blue,28,4,22399.0,1431,True
1535,812597508,39,F,1,1,married,1,blue,34,6,4489.0,2498,True
1538,813990483,27,F,0,1,married,0,blue,22,4,1864.0,1384,True
1540,789627258,31,M,1,2,single,1,blue,25,5,1935.0,1033,True
1541,713346558,45,M,4,2,divorced,2,blue,37,5,6784.0,891,True
1542,708744933,35,M,2,1,married,2,blue,36,4,19127.0,1880,True
1543,708828258,55,M,2,3,married,4,blue,37,5,32641.0,1551,True
1544,713511108,61,M,1,0,married,1,blue,47,5,1438.3,847,True
1545,710208633,37,F,1,2,married,0,blue,31,5,2417.0,1929,True
1549,717837858,47,M,5,3,married,4,blue,34,3,17603.0,1063,True
1550,709382958,55,F,2,2,married,1,blue,46,6,2894.0,2077,True
1551,716253858,37,M,5,4,married,3,blue,26,2,16730.0,1956,True
1552,713725683,36,F,0,3,single,0,blue,27,6,3282.0,1843,True
1554,816033783,26,M,0,1,single,2,blue,21,6,1672.0,957,True
1555,715065483,45,F,3,2,divorced,0,blue,36,4,8121.0,1595,True
1557,713983308,60,M,0,4,married,2,blue,49,5,3182.0,1928,True
1558,718418958,30,M,1,4,divorced,0,blue,36,6,5061.0,0,False
1559,779367858,39,M,4,1,married,2,blue,28,5,6224.0,1898,True
1561,714974658,48,F,4,3,married,0,blue,36,6,2464.0,1867,True
1562,716374308,39,M,3,2,married,2,blue,33,4,3477.0,1875,True
1563,713416233,38,M,2,2,married,3,blue,24,5,3242.0,2076,True
1564,797643708,47,M,1,1,married,4,blue,41,3,27858.0,1314,True
1565,808292958,26,M,0,2,single,0,blue,20,6,1438.3,495,True
1566,719831958,49,M,3,3,single,4,blue,36,5,34516.0,0,True
1567,708860358,38,M,3,1,married,3,blue,22,4,6361.0,694,True
1568,717385983,30,M,0,2,married,0,blue,21,6,2490.0,0,True
1569,719049033,53,M,3,1,married,4,blue,44,5,14057.0,1655,True
1571,714347508,35,M,2,0,single,2,blue,21,4,7766.0,1278,True
1572,803833608,40,M,3,0,single,1,silver,33,4,21308.0,564,True
1573,712576908,30,M,0,1,married,2,blue,36,5,4516.0,2252,True
1574,778511733,42,F,3,3,single,1,blue,30,6,5424.0,1812,True
1575,721464783,62,F,0,2,married,0,blue,36,3,1764.0,1540,True
1576,821179233,50,F,1,4,single,1,blue,46,1,1493.0,932,False
1577,713126733,56,M,3,3,married,4,blue,43,6,17539.0,2517,True
1578,719688408,45,M,3,2,married,3,silver,36,6,34516.0,0,True
1579,779811183,35,F,3,0,married,0,blue,25,4,2149.0,1118,True
1580,771086208,57,F,2,2,married,0,blue,44,3,6256.0,1530,True
1582,813752433,43,F,3,2,single,0,blue,38,5,4075.0,1986,False
1583,711876333,53,M,3,2,married,3,blue,36,5,7290.0,2151,True
1584,715256658,50,M,2,3,single,2,blue,36,5,5965.0,688,True
1585,711329658,30,M,0,1,married,4,blue,13,3,9007.0,1965,True
1586,710227908,37,F,3,2,single,0,blue,36,3,6077.0,1397,True
1587,716362008,37,M,2,5,married,1,blue,29,3,1808.0,1009,True
1588,714939708,45,M,3,2,single,3,blue,36,6,12810.0,0,True
1590,719431608,63,F,0,3,married,1,blue,53,6,3118.0,1528,True
1591,769411758,43,M,1,2,single,2,blue,37,4,20013.0,922,True
1594,714631833,53,M,4,2,married,2,blue,44,3,1973.0,1324,True
1596,717999183,36,M,3,1,married,2,blue,36,6,4108.0,1659,True
1597,713075283,51,M,3,1,single,4,blue,36,5,20741.0,2504,True
1598,711561108,36,M,4,2,single,3,blue,24,6,16335.0,892,True
1600,713630733,34,F,2,2,single,0,blue,24,5,5712.0,1955,True
1601,717599283,57,M,0,5,married,2,blue,36,3,5335.0,1206,True
1603,712730583,29,M,0,0,married,2,blue,20,5,8592.0,1201,True
1604,712142733,37,F,3,4,married,0,blue,26,5,1910.0,1164,True
1605,720153258,53,F,2,3,single,0,blue,45,6,6210.0,1083,True
1606,814086333,36,M,3,3,married,1,blue,31,6,2220.0,1337,True
1609,714069858,53,M,3,2,married,2,blue,36,4,3539.0,2517,True
1610,712789383,52,M,1,2,married,4,blue,44,6,9274.0,2097,True
1611,787983633,35,F,3,0,married,0,blue,26,6,3187.0,2517,True
1612,758583708,37,F,3,2,single,0,blue,24,2,2802.0,2460,False
1613,717130383,50,M,0,0,married,2,blue,36,4,2334.0,707,True
1614,720770883,65,F,0,2,single,0,blue,56,5,1438.3,0,True
1617,720677733,40,M,3,2,married,3,silver,36,6,34516.0,1002,True
1618,718587858,39,M,4,1,married,2,blue,31,3,11906.0,2032,True
1620,715055433,36,M,3,0,married,2,blue,22,6,2224.0,1772,True
1621,715498308,35,F,2,2,married,1,blue,36,4,3454.0,1603,True
1622,708099183,37,F,2,1,single,0,blue,36,4,5723.0,1873,True
1624,789959283,39,M,2,3,single,3,blue,24,4,4061.0,1775,True
1625,713536158,65,M,1,3,married,0,blue,56,5,4189.0,0,True
1627,815299833,38,F,2,2,married,0,blue,33,5,2228.0,1717,True
1628,721003008,36,F,4,2,married,0,blue,24,3,3261.0,2517,False
1629,779883933,40,F,4,2,married,0,blue,24,3,8014.0,1402,True
1630,716612958,35,F,2,3,married,1,blue,29,6,10980.0,1726,True
1631,715859058,54,M,3,4,married,4,blue,42,6,3092.0,2165,True
1632,772031733,40,M,4,2,single,3,blue,29,5,14315.0,690,True
1633,720668358,59,M,0,0,single,1,blue,46,3,1648.0,997,True
1634,778708533,26,F,0,1,single,1,blue,13,2,1730.0,1616,False
1635,719649408,46,M,2,1,married,2,blue,35,6,13768.0,763,True
1637,711934308,38,M,3,2,single,1,blue,19,5,1705.0,0,True
1638,781326483,31,M,0,2,divorced,2,blue,25,6,8673.0,0,True
1639,712557708,35,M,1,1,married,2,blue,21,5,6391.0,2317,True
1640,789187908,56,M,2,0,married,3,blue,45,4,11102.0,1946,True
1641,773297508,34,M,3,3,married,3,blue,28,3,24765.0,1999,True
1642,716529258,42,M,4,5,married,3,blue,27,5,31864.0,0,True
1643,708242283,29,M,1,3,single,2,blue,36,5,5346.0,0,True
1644,789247458,32,M,0,2,single,1,blue,21,6,2801.0,1472,True
1645,717100833,37,F,2,1,married,0,blue,27,6,3148.0,0,True
1648,721236408,38,M,2,2,married,3,blue,29,5,7535.0,2517,True
1649,720122808,52,M,2,1,married,2,silver,35,4,33180.0,511,False
1650,716882658,62,F,2,2,married,0,blue,51,6,2986.0,1632,True
1652,709085358,36,M,1,2,single,2,blue,36,3,2601.0,1817,True
1653,715785933,54,M,3,3,married,3,blue,45,4,3380.0,1655,True
1654,717159858,27,M,1,1,single,2,blue,18,5,2730.0,1351,True
1655,713259858,26,M,0,1,single,1,blue,15,3,3324.0,0,False
1656,787516908,56,F,2,2,married,0,blue,45,4,2665.0,1844,True
1657,711145008,60,F,1,2,married,1,blue,47,4,5015.0,2053,True
1658,715013733,54,M,4,2,married,2,blue,36,4,6905.0,2303,True
1660,737982408,33,M,1,3,single,3,blue,26,4,19136.0,1608,True
1662,709361058,35,M,2,2,married,2,blue,24,5,7453.0,0,True
1664,773383158,29,F,1,3,single,0,blue,23,4,4945.0,0,True
1665,716053083,33,M,2,2,married,4,blue,21,2,27992.0,0,False
1666,717667833,34,M,1,2,married,1,blue,36,6,3735.0,1285,True
1668,772086408,38,M,3,1,single,3,blue,27,4,6162.0,943,True
1669,708597558,42,M,3,1,single,2,blue,36,4,3337.0,795,True
1670,718011783,55,M,3,2,married,1,blue,36,3,2205.0,1337,True
1671,714360033,62,M,1,1,married,1,blue,43,5,4450.0,1444,True
1674,708513183,39,M,1,0,married,1,blue,29,4,4323.0,1267,True
1675,719353158,56,M,1,3,married,3,blue,45,5,4145.0,1468,True
1676,711436083,36,M,1,2,married,0,blue,18,6,2032.0,1003,True
1677,780374133,29,M,1,3,single,3,blue,19,5,7010.0,2103,True
1678,739117233,57,M,3,1,married,4,blue,50,3,3205.0,1530,True
1680,795237183,51,F,2,2,married,1,blue,45,3,5930.0,0,True
1682,709635858,56,F,3,2,married,0,blue,45,6,2235.0,0,True
1683,789701658,26,M,0,3,single,1,blue,13,5,2047.0,1196,True
1685,711954558,53,F,3,2,married,1,blue,44,3,2636.0,2357,True
1686,712655583,41,M,3,2,married,1,blue,32,3,6425.0,915,True
1687,779686683,26,F,0,4,single,0,blue,13,5,2902.0,1668,True
1688,711226758,51,F,1,3,divorced,0,blue,42,3,4002.0,1669,True
1689,713241033,34,M,0,2,married,2,blue,26,4,5175.0,977,True
1691,717013383,52,M,2,1,married,3,blue,43,4,31258.0,1518,True
1692,712634133,54,F,2,2,married,0,blue,45,5,2683.0,1671,True
1693,709537683,37,M,3,3,married,3,blue,30,3,11638.0,926,False
1695,720241758,55,M,0,5,married,3,blue,36,3,8276.0,1671,True
1697,785080308,37,F,2,1,married,0,blue,31,5,2352.0,0,True
1698,713358633,30,M,1,2,single,2,blue,36,6,11371.0,1015,True
1700,720282558,36,M,2,2,single,3,silver,27,5,34516.0,1568,True
1701,821370858,39,M,1,2,married,1,blue,35,5,6690.0,1884,True
1702,799249833,34,M,2,2,single,0,blue,28,5,4439.0,844,True
1703,713016633,47,M,3,1,single,2,blue,36,4,5344.0,1582,True
1704,814471983,42,M,3,1,divorced,3,blue,37,6,27310.0,0,True
1705,779612808,61,M,1,2,married,1,blue,50,6,2531.0,2360,True
1706,716692683,31,M,1,3,single,1,blue,22,4,9096.0,0,True
1707,790145733,40,M,3,3,single,3,silver,33,1,34516.0,0,False
1709,714421233,54,F,0,2,married,0,blue,36,5,5399.0,1723,True
1711,812788233,31,F,0,2,married,0,blue,21,4,6315.0,1305,True
1715,713910108,38,M,1,2,married,3,blue,28,3,3946.0,2375,True
1716,808169358,57,M,2,0,single,1,blue,52,5,12291.0,2289,True
1717,714013083,63,F,2,2,married,1,blue,53,4,3067.0,1874,True
1718,715381533,42,F,4,4,single,0,blue,36,6,1438.3,674,True
1719,717678408,61,F,1,5,married,1,blue,47,4,8633.0,2517,True
1721,711509658,61,M,2,2,married,4,blue,49,3,11374.0,2517,False
1722,757481283,35,M,3,3,married,2,blue,28,4,6921.0,2159,True
1723,808681158,57,M,0,2,married,3,blue,52,4,2564.0,2379,True
1727,708208758,53,M,1,2,single,3,blue,45,6,1826.0,883,True
1729,714772758,35,F,3,2,married,0,blue,27,6,2926.0,1346,True
1730,713830233,47,F,5,1,married,1,blue,36,5,7061.0,1813,True
1732,814513008,38,M,2,2,married,3,blue,33,5,9620.0,2033,True
1733,712765158,26,F,1,1,single,0,blue,15,5,2539.0,2162,True
1735,720231108,57,M,2,2,single,0,blue,39,3,3451.0,0,True
1737,720662508,39,M,1,2,married,4,blue,25,6,5764.0,1529,True
1738,708623283,35,M,2,0,single,2,blue,16,6,18278.0,0,True
1739,813247083,38,M,2,2,married,3,blue,33,4,16059.0,618,True
1741,811915383,36,M,3,0,married,1,blue,31,6,3152.0,1986,True
1742,719818983,39,M,1,3,divorced,3,blue,28,1,12464.0,0,False
1744,710067183,28,M,1,1,single,0,blue,36,5,1950.0,0,True
1745,771234558,65,F,0,2,single,0,blue,56,6,7478.0,0,True
1746,820288233,26,F,0,0,single,0,blue,20,4,1438.3,0,True
1747,717511533,28,M,0,2,single,0,blue,36,4,1707.0,1191,True
1749,712495233,31,F,0,0,married,0,blue,19,5,2370.0,1699,True
1750,718484283,57,M,3,4,married,2,blue,36,6,3478.0,2517,True
1751,717413658,43,M,4,1,married,1,blue,32,6,1539.0,989,True
1752,804668658,26,F,0,0,single,0,blue,20,3,1438.3,0,False
1753,715934283,39,F,2,1,single,1,blue,26,6,3142.0,1639,True
1755,715279683,52,F,2,0,married,1,blue,36,5,1438.3,0,True
1756,718971333,33,M,1,2,single,3,blue,20,5,13206.0,925,True
1757,709219533,53,M,3,1,married,2,blue,41,3,2480.0,1351,True
1760,802464033,65,F,0,2,married,0,blue,56,6,4460.0,1262,True
1761,712757808,33,F,2,0,married,0,blue,22,4,1544.0,0,True
1764,708741633,52,M,4,1,married,2,blue,44,6,4153.0,0,True
1765,714043833,37,F,3,2,single,0,blue,36,5,3685.0,1396,True
1766,789577833,56,M,2,2,married,4,blue,49,4,8902.0,1932,True
1767,787570758,35,M,2,0,married,4,blue,26,3,2944.0,1596,True
1768,720371733,58,F,0,2,married,0,blue,47,5,2232.0,786,True
1770,711776433,37,M,3,0,single,3,blue,26,4,23622.0,1153,True
1771,709583133,53,M,3,0,married,1,blue,40,6,3326.0,1442,True
1772,719521983,38,M,2,0,married,1,blue,31,4,6116.0,1698,True
1773,718415133,38,M,1,0,married,3,blue,25,6,11352.0,0,True
1776,720462633,43,F,3,0,single,0,blue,29,3,4138.0,643,True
1777,715005558,36,M,2,3,single,3,blue,36,6,8374.0,2147,True
1778,779993208,38,F,2,0,married,0,blue,28,3,7049.0,0,True
1779,787543008,37,M,1,2,single,1,blue,27,5,3851.0,1695,True
1780,743265108,37,M,4,3,single,2,blue,30,5,15936.0,827,True
1781,713770383,29,F,0,0,divorced,0,blue,19,5,2926.0,0,True
1782,712392108,51,M,3,1,married,2,blue,36,3,10305.0,691,True
1783,720145683,54,M,1,3,married,2,blue,42,3,2987.0,2517,True
1784,714832383,35,M,0,1,single,3,gold,29,6,34516.0,1965,True
1785,772706283,38,F,2,3,married,1,blue,28,3,6275.0,1579,True
1786,795920358,33,F,2,1,married,0,blue,27,3,7185.0,0,True
1787,716277558,45,F,1,0,single,0,blue,36,4,3281.0,1961,True
1788,764776833,61,M,0,2,married,1,blue,54,3,3077.0,1646,True
1789,710795883,33,F,3,0,married,0,blue,16,6,2042.0,1864,True
1790,710428308,55,M,4,1,single,2,blue,51,4,2001.0,1553,True
1791,721096983,34,F,2,2,single,0,blue,36,4,3625.0,2517,True
1792,715760733,58,M,4,1,married,1,blue,47,6,7803.0,1885,True
1793,718227033,38,F,4,2,married,0,blue,30,3,5951.0,1702,True
1794,720610008,59,M,1,3,married,4,blue,50,1,15796.0,812,False
1796,714111333,55,M,1,1,married,2,blue,46,6,5381.0,0,True
1797,717551358,63,M,0,2,married,2,blue,55,4,3556.0,2517,True
1798,813573333,60,M,1,1,married,0,blue,55,5,2661.0,1466,True
1799,711709683,53,F,2,0,married,0,blue,36,6,3506.0,1405,True
1800,712902483,35,M,3,1,married,2,blue,24,3,2066.0,1699,True
1802,719883858,58,M,2,2,married,0,blue,48,4,2774.0,0,True
1804,712043433,53,M,1,2,married,3,blue,36,5,11329.0,1180,True
1805,769095558,59,M,1,5,single,2,blue,53,3,9055.0,1560,True
1806,816094233,37,M,1,1,married,4,blue,32,6,17393.0,1409,True
1807,758417508,50,F,4,1,divorced,0,blue,43,6,5908.0,0,True
1808,721234308,35,F,2,0,married,0,blue,21,6,5825.0,1815,True
1809,717138558,28,M,0,4,married,1,blue,16,5,3665.0,0,True
1810,798120858,37,M,3,0,married,3,blue,31,4,3797.0,1425,True
1811,709997958,39,M,3,2,married,1,blue,28,4,3478.0,0,True
1812,712617408,31,M,1,4,single,1,blue,20,5,13734.0,0,True
1813,720158208,37,M,3,2,married,2,blue,23,4,3034.0,2167,True
1814,716548083,39,M,4,2,married,0,blue,32,4,2973.0,2360,True
1815,717631008,38,M,2,2,married,3,blue,31,4,24296.0,0,True
1816,813964383,35,M,3,2,single,1,blue,30,3,8969.0,1226,True
1817,719952408,30,M,0,2,married,0,blue,36,3,2550.0,1623,True
1818,771028533,48,F,3,4,married,0,silver,35,5,10357.0,0,False
1821,713998233,37,F,2,1,single,0,blue,36,6,3586.0,1414,True
1823,713574708,39,M,3,3,single,1,blue,28,6,1640.0,1177,True
1825,712004208,65,M,0,2,single,0,blue,56,3,3422.0,0,True
1827,819610908,38,M,2,0,single,3,blue,33,1,32938.0,2089,False
1829,712064358,38,M,1,2,married,2,blue,36,6,2507.0,1544,True
1830,816013383,65,F,0,2,divorced,0,blue,56,3,6184.0,0,False
1832,780881358,35,M,3,2,single,1,silver,17,6,16659.0,0,True
1833,709422183,58,F,1,2,married,0,blue,46,4,2203.0,1394,True
1835,809941233,53,M,1,2,married,3,blue,48,4,3074.0,2390,True
1836,710844408,38,M,3,4,married,2,blue,36,4,2584.0,0,True
1838,807141183,34,M,1,2,married,4,blue,29,4,14938.0,1412,True
1840,808273533,39,M,2,1,single,2,blue,34,3,1818.0,0,False
1841,716297658,37,M,2,2,single,3,blue,36,4,14926.0,0,True
1842,716532258,51,F,1,1,single,0,blue,43,4,2827.0,1308,True
1843,720540708,53,F,3,0,married,0,blue,42,3,2773.0,1507,True
1844,720904233,53,M,0,2,married,3,blue,41,3,16033.0,560,True
1845,720863133,65,M,1,2,married,0,blue,54,5,3213.0,2517,True
1846,714957108,33,F,3,1,divorced,0,blue,26,5,3616.0,0,True
1847,790102008,37,M,3,5,single,2,blue,30,6,5924.0,1023,True
1848,781933983,47,M,4,2,married,1,blue,41,5,14535.0,0,True
1849,712643358,59,F,0,1,married,0,blue,49,6,2833.0,1609,True
1850,716686158,59,F,0,4,married,0,blue,49,5,1479.0,601,True
1852,721344858,26,M,0,0,single,0,blue,13,4,2237.0,451,True
1853,813230208,45,M,4,3,single,4,blue,40,3,2900.0,1782,True
1855,787500333,52,M,2,4,single,3,blue,40,6,8695.0,1407,True
1856,768582033,47,M,3,1,married,1,blue,41,6,6692.0,1897,True
1858,719916408,34,M,5,2,married,2,blue,27,5,2501.0,1909,True
1859,789433758,36,M,0,3,married,3,blue,27,3,6338.0,2379,True
1860,785011383,36,F,0,0,divorced,1,blue,30,1,2190.0,0,False
1861,719283633,57,F,3,0,married,1,blue,49,4,7578.0,1628,True
1862,710816358,29,M,1,4,married,0,blue,18,4,2963.0,1466,True
1863,779653458,37,M,3,2,married,3,blue,20,3,8260.0,2077,True
1864,716382708,46,F,2,2,single,0,blue,36,3,8309.0,858,False
1865,710387583,55,M,0,1,married,3,blue,35,5,3864.0,1901,True
1866,718772133,56,M,3,2,married,3,blue,47,6,10230.0,1082,True
1867,711224733,32,M,0,1,married,4,blue,27,3,22382.0,0,False
1868,718360083,39,M,4,0,married,4,blue,36,6,25790.0,1798,True
1869,716102583,63,F,1,2,married,0,blue,53,6,2675.0,2517,True
1871,708459633,38,M,2,1,married,2,blue,26,4,5815.0,1698,True
1872,712868733,60,M,0,0,married,0,blue,52,5,2595.0,2189,True
1873,713790708,38,M,3,0,married,2,blue,36,5,3421.0,2308,True
1874,717648783,63,M,2,1,married,3,blue,51,4,6922.0,1704,True
1875,714709983,43,F,2,3,married,0,blue,36,6,6979.0,898,True
1876,819409608,39,F,2,2,married,0,blue,34,4,2594.0,0,True
1878,791856033,45,M,2,3,divorced,3,blue,39,3,34516.0,0,False
1879,714474483,35,F,1,2,married,1,blue,29,4,2523.0,1877,True
1880,716448783,48,F,3,2,married,1,blue,39,2,6235.0,0,False
1881,711065133,26,M,1,1,single,1,blue,13,6,1473.0,0,True
1882,713769258,36,M,3,3,married,4,blue,26,3,17116.0,939,True
1883,712288158,37,M,2,3,married,3,blue,17,5,4631.0,1991,True
1885,789127533,49,M,4,1,divorced,3,blue,37,5,32338.0,1664,True
1886,717038733,56,M,3,0,married,2,blue,36,5,2253.0,1375,True
1887,804840033,45,M,2,3,married,2,blue,38,4,16611.0,0,True
1890,712058958,28,M,0,1,single,0,blue,19,3,3480.0,0,True
1891,708295533,65,F,0,4,married,0,blue,56,5,3549.0,1880,True
1892,817686633,26,F,1,3,single,0,blue,15,5,1438.3,737,True
1893,713738883,57,F,3,0,married,0,blue,36,6,3136.0,1422,True
1894,721310283,47,M,3,2,single,4,blue,36,6,34516.0,933,True
1895,803132733,54,F,1,2,married,0,blue,48,4,6814.0,1570,True
1898,711615933,43,M,3,2,married,3,blue,33,3,28170.0,1859,True
1899,785311158,54,F,2,2,single,0,blue,48,6,6610.0,928,True
1900,717267108,37,M,1,3,single,2,blue,26,6,15755.0,1410,True
1901,711636558,33,M,3,2,married,3,blue,36,5,2711.0,2073,True
1902,717504258,38,M,2,3,married,1,blue,25,4,3735.0,1199,True
1903,718242333,36,M,4,2,single,3,blue,36,5,10216.0,1822,True
1905,708892833,37,M,2,2,married,4,blue,30,2,13662.0,0,False
1907,720191883,45,M,3,1,single,2,blue,35,5,7050.0,659,True
1908,710934033,26,M,0,1,single,0,blue,13,6,1775.0,1162,True
1909,714473658,42,M,3,2,single,1,blue,30,6,8960.0,1054,True
1910,716569983,33,M,2,3,married,3,blue,36,3,2355.0,1773,True
1911,789833583,57,F,4,1,married,1,blue,47,5,6803.0,1332,True
1912,818923158,55,M,2,2,married,2,blue,50,5,2145.0,1207,True
1913,716596308,40,M,3,0,single,3,blue,36,5,3919.0,1640,True
1914,716620458,32,M,1,1,single,0,blue,23,3,4500.0,0,True
1915,710251608,62,F,1,1,married,0,blue,54,3,2941.0,1173,True
1916,710633808,26,M,0,2,single,2,blue,13,3,7102.0,0,True
1917,719318583,37,M,3,1,married,0,blue,26,3,6866.0,2389,False
1918,819202533,57,M,1,5,married,3,blue,52,3,10378.0,1540,True
1920,771196083,47,M,4,2,married,3,blue,34,6,18178.0,0,True
1922,788965683,49,F,4,0,married,0,blue,36,6,1438.3,0,True
1923,817142433,35,M,3,2,married,3,blue,20,5,8082.0,2307,True
1926,713309583,55,F,2,3,married,0,blue,36,6,2967.0,2129,True
1927,710273658,36,M,2,2,married,2,blue,17,5,3092.0,1825,True
1928,771429408,54,M,1,1,married,3,blue,42,5,1618.0,668,True
1929,719452308,30,F,0,2,married,0,blue,23,5,2498.0,1632,True
1930,818908833,46,M,3,2,married,1,blue,41,5,2564.0,0,True
1931,780998133,43,M,3,2,married,3,blue,34,3,10540.0,1489,True
1932,801726933,34,M,2,2,married,4,blue,28,4,13384.0,1853,True
1933,788474658,55,M,3,2,married,3,blue,48,5,16208.0,1278,True
1935,710562258,44,M,1,2,married,3,blue,33,5,19214.0,0,True
1937,814776033,34,M,2,2,single,3,blue,29,3,13395.0,1678,True
1938,715057383,40,M,3,2,married,2,blue,31,6,17126.0,1201,True
1939,717970158,42,M,2,3,single,2,blue,36,5,8083.0,0,True
1940,715168008,36,M,3,2,divorced,1,blue,28,4,8995.0,1547,True
1941,720802833,26,F,1,1,single,0,blue,13,3,2404.0,1198,True
1942,789370383,42,M,1,1,married,1,blue,32,4,2807.0,1845,True
1943,711782733,55,M,0,2,married,1,blue,36,3,3097.0,827,True
1945,719381733,61,M,2,1,single,2,blue,47,5,2175.0,1404,True
1946,771169458,41,M,4,3,married,4,blue,28,5,28020.0,1470,True
1947,709974108,35,F,1,2,single,0,blue,23,4,2640.0,1051,True
1948,757024233,34,M,2,2,single,4,blue,27,3,31313.0,2152,True
1949,768928833,37,M,2,1,married,3,blue,31,3,7304.0,0,True
1951,812441358,26,M,1,3,divorced,1,blue,21,3,1438.3,0,True
1952,713287608,54,F,3,1,married,0,blue,41,5,3161.0,1220,True
1953,711357858,47,F,3,2,single,0,blue,36,5,7246.0,0,False
1954,715478733,56,F,5,2,married,0,blue,36,5,3088.0,2517,True
1958,713469333,40,M,2,1,single,3,blue,28,6,19279.0,1427,True
1959,719243808,33,F,1,2,married,0,blue,20,3,3792.0,1625,True
1960,772202058,64,M,0,2,married,0,blue,53,3,2084.0,1647,True
1961,711346383,33,M,1,1,single,3,blue,28,4,34516.0,0,True
1962,711405333,52,M,3,4,married,3,blue,43,5,6849.0,2126,True
1963,778407033,59,F,0,0,married,0,blue,39,6,2417.0,1932,True
1966,709858533,29,M,2,2,divorced,0,blue,20,4,2462.0,2021,True
1968,711816108,40,M,3,1,single,3,blue,29,2,18563.0,0,False
1969,717105258,37,F,1,2,married,0,blue,36,3,3992.0,1289,True
1970,715822008,32,M,1,1,married,0,blue,14,4,3568.0,2175,True
1971,714971583,36,M,2,2,single,2,blue,27,3,7776.0,831,True
1973,709025583,53,M,3,1,married,3,blue,36,3,9355.0,715,True
1976,789297558,36,M,1,0,single,4,blue,25,6,7049.0,1932,True
1977,710375283,26,F,0,0,single,1,blue,18,4,2033.0,1471,True
1978,712189233,38,F,1,2,married,1,blue,20,5,5153.0,2517,True
1979,713767383,32,F,0,1,married,1,blue,22,4,2062.0,1665,True
1980,797414733,37,F,3,2,single,0,blue,31,3,2005.0,1517,True
1982,714151533,55,F,1,2,married,1,blue,46,5,4589.0,1622,True
1984,787494783,58,M,3,1,married,2,blue,46,5,8184.0,1205,True
1986,710297133,47,M,3,1,married,3,blue,36,6,30210.0,1194,True
1987,793355508,32,M,0,2,single,0,blue,26,6,6942.0,0,True
1988,708580908,56,M,3,1,married,2,blue,37,3,14551.0,2517,True
1989,719826333,34,F,2,5,single,0,blue,13,5,1438.3,0,True
1991,744764433,55,M,2,0,married,4,blue,48,5,30967.0,817,True
